,precision,recall,f1-score,support
Black-grass,0.696969696969697,0.48936170212765956,0.575,47.0
Charlock,1.0,0.9705882352941176,0.9850746268656716,68.0
Cleavers,0.96,0.9411764705882353,0.9504950495049505,51.0
Common Chickweed,0.9724770642201835,0.9906542056074766,0.9814814814814815,107.0
Common wheat,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0
Fat Hen,0.9397590361445783,0.975,0.9570552147239264,80.0
Loose Silky-bent,0.803030303030303,0.9217391304347826,0.8582995951417004,115.0
Maize,1.0,0.9736842105263158,0.9866666666666667,38.0
Scentless Mayweed,0.9775280898876404,0.9560439560439561,0.9666666666666667,91.0
Shepherds Purse,0.975,0.9512195121951219,0.9629629629629629,41.0
Small-flowered Cranesbill,0.9886363636363636,1.0,0.9942857142857143,87.0
Sugar beet,0.9705882352941176,0.9428571428571428,0.9565217391304348,70.0
accuracy,0.9339735894357744,0.9339735894357744,0.9339735894357744,0.9339735894357744
macro avg,0.9337534517301526,0.9194480997711464,0.9246301957507604,833.0
weighted avg,0.9329945085905326,0.9339735894357744,0.9317809983827314,833.0
